1714354860, evm, v0.34.1, triangle-number, 3, solc 0.8.1, --instance-count 1 --call-count 2000
1714354296, ink-wasm, v1.0.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 2000
1714354338, sol-wasm, v1.0.0, triangle-number, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714379928, evm, v0.34.1, triangle-number, 3, solc 0.8.1, --instance-count 1 --call-count 2000
1714379352, ink-wasm, v1.0.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 2000
1714379352, sol-wasm, v1.0.0, triangle-number, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714399410, evm, v0.34.1, triangle-number, 2, solc 0.8.1, --instance-count 1 --call-count 2000
1714398888, ink-wasm, v1.0.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 2000
1714398924, sol-wasm, v1.0.0, triangle-number, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714441218, evm, v0.34.1, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1714440684, ink-wasm, v1.0.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 2000
1714440732, sol-wasm, v1.0.0, triangle-number, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714486632, evm, v0.34.1, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1714486152, ink-wasm, v1.0.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 2000
1714486182, sol-wasm, v1.0.0, triangle-number, 19, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714493640, evm, v0.34.1, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1714493118, ink-wasm, v1.0.0, triangle-number, 28, ink! 4.3.0, --instance-count 1 --call-count 2000
1714493130, sol-wasm, v1.0.0, triangle-number, 19, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714527702, evm, v0.34.1, triangle-number, 5, solc 0.8.1, --instance-count 1 --call-count 2000
1714527096, ink-wasm, v1.0.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 2000
1714527150, sol-wasm, v1.0.0, triangle-number, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714614006, evm, v0.34.1, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1714613454, ink-wasm, v1.0.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 2000
1714613490, sol-wasm, v1.0.0, triangle-number, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714700310, evm, v0.34.1, triangle-number, 4, solc 0.8.1, --instance-count 1 --call-count 2000
1714699830, ink-wasm, v1.0.0, triangle-number, 29, ink! 4.3.0, --instance-count 1 --call-count 2000
1714699866, sol-wasm, v1.0.0, triangle-number, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715391594, evm, v0.34.1, triangle-number, 4.86, solc 0.8.1, --instance-count 1 --call-count 2000
1715391036, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1715391066, sol-wasm, v1.0.0, triangle-number, 20.51, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715478126, evm, v0.34.1, triangle-number, 4.78, solc 0.8.1, --instance-count 1 --call-count 2000
1715477634, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1715477676, sol-wasm, v1.0.0, triangle-number, 19.96, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715564418, evm, v0.34.1, triangle-number, 5.05, solc 0.8.1, --instance-count 1 --call-count 2000
1715563872, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1715563902, sol-wasm, v1.0.0, triangle-number, 20.06, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715650824, evm, v0.34.1, triangle-number, 4.81, solc 0.8.1, --instance-count 1 --call-count 2000
1715650338, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1715650356, sol-wasm, v1.0.0, triangle-number, 20.63, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715697828, evm, v0.34.1, triangle-number, 4.88, solc 0.8.1, --instance-count 1 --call-count 2000
1715697270, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1715697300, sol-wasm, v1.0.0, triangle-number, 21.61, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715737248, evm, v0.34.1, triangle-number, 4.94, solc 0.8.1, --instance-count 1 --call-count 2000
1715736720, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1715736708, sol-wasm, v1.0.0, triangle-number, 20.60, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715823636, evm, v0.34.1, triangle-number, 5.05, solc 0.8.1, --instance-count 1 --call-count 2000
1715823042, ink-wasm, v1.0.0, triangle-number, 29.02, ink! 4.3.0, --instance-count 1 --call-count 2000
1715823096, sol-wasm, v1.0.0, triangle-number, 20.02, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715909994, evm, v0.34.1, triangle-number, 4.86, solc 0.8.1, --instance-count 1 --call-count 2000
1715909472, ink-wasm, v1.0.0, triangle-number, 29.25, ink! 4.3.0, --instance-count 1 --call-count 2000
1715909520, sol-wasm, v1.0.0, triangle-number, 19.29, Solidity 0.3.2, --instance-count 1 --call-count 2000
