1714354392, evm, v0.34.1, storage-write, 22, solc 0.8.1, --instance-count 1 --call-count 2000
1714354482, ink-wasm, v1.0.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714354482, sol-wasm, v1.0.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714379406, evm, v0.34.1, storage-write, 10, solc 0.8.1, --instance-count 1 --call-count 2000
1714379532, ink-wasm, v1.0.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714379520, sol-wasm, v1.0.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714398967, evm, v0.34.1, storage-write, 20, solc 0.8.1, --instance-count 1 --call-count 2000
1714399086, ink-wasm, v1.0.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714399068, sol-wasm, v1.0.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714440738, evm, v0.34.1, storage-write, 12, solc 0.8.1, --instance-count 1 --call-count 2000
1714440888, ink-wasm, v1.0.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714440894, sol-wasm, v1.0.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714486182, evm, v0.34.1, storage-write, 19, solc 0.8.1, --instance-count 1 --call-count 2000
1714486320, ink-wasm, v1.0.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714486308, sol-wasm, v1.0.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714493155, evm, v0.34.1, storage-write, 21, solc 0.8.1, --instance-count 1 --call-count 2000
1714493268, ink-wasm, v1.0.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714493262, sol-wasm, v1.0.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714527198, evm, v0.34.1, storage-write, 21, solc 0.8.1, --instance-count 1 --call-count 2000
1714527306, ink-wasm, v1.0.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714527294, sol-wasm, v1.0.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714613532, evm, v0.34.1, storage-write, 22, solc 0.8.1, --instance-count 1 --call-count 2000
1714613676, ink-wasm, v1.0.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714613658, sol-wasm, v1.0.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714699890, evm, v0.34.1, storage-write, 22, solc 0.8.1, --instance-count 1 --call-count 2000
1714700004, ink-wasm, v1.0.0, storage-write, 7, ink! 4.3.0, --instance-count 1 --call-count 2000
1714699986, sol-wasm, v1.0.0, storage-write, 8, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714786320, evm, v0.34.1, storage-write, , solc 0.8.1, --instance-count 1 --call-count 2000
1714786452, ink-wasm, v1.0.0, storage-write, , ink! 4.3.0, --instance-count 1 --call-count 2000
1714786458, sol-wasm, v1.0.0, storage-write, , Solidity 0.3.2, --instance-count 1 --call-count 2000
1714872763, evm, v0.34.1, storage-write, , solc 0.8.1, --instance-count 1 --call-count 2000
1714872918, ink-wasm, v1.0.0, storage-write, , ink! 4.3.0, --instance-count 1 --call-count 2000
1714872924, sol-wasm, v1.0.0, storage-write, , Solidity 0.3.2, --instance-count 1 --call-count 2000
1714959162, evm, v0.34.1, storage-write, , solc 0.8.1, --instance-count 1 --call-count 2000
1714959270, ink-wasm, v1.0.0, storage-write, , ink! 4.3.0, --instance-count 1 --call-count 2000
1714959252, sol-wasm, v1.0.0, storage-write, , Solidity 0.3.2, --instance-count 1 --call-count 2000
1715045664, evm, v0.34.1, storage-write, , solc 0.8.1, --instance-count 1 --call-count 2000
1715045802, ink-wasm, v1.0.0, storage-write, , ink! 4.3.0, --instance-count 1 --call-count 2000
1715045802, sol-wasm, v1.0.0, storage-write, , Solidity 0.3.2, --instance-count 1 --call-count 2000
1715131722, evm, v0.34.1, storage-write, , solc 0.8.1, --instance-count 1 --call-count 2000
1715131872, ink-wasm, v1.0.0, storage-write, , ink! 4.3.0, --instance-count 1 --call-count 2000
1715131848, sol-wasm, v1.0.0, storage-write, , Solidity 0.3.2, --instance-count 1 --call-count 2000
1715218338, evm, v0.34.1, storage-write, , solc 0.8.1, --instance-count 1 --call-count 2000
1715218422, ink-wasm, v1.0.0, storage-write, , ink! 4.3.0, --instance-count 1 --call-count 2000
1715218434, sol-wasm, v1.0.0, storage-write, , Solidity 0.3.2, --instance-count 1 --call-count 2000
1715304696, evm, v0.34.1, storage-write, , solc 0.8.1, --instance-count 1 --call-count 2000
1715304798, ink-wasm, v1.0.0, storage-write, , ink! 4.3.0, --instance-count 1 --call-count 2000
1715304804, sol-wasm, v1.0.0, storage-write, , Solidity 0.3.2, --instance-count 1 --call-count 2000
1715391114, evm, v0.34.1, storage-write, 19.02, solc 0.8.1, --instance-count 1 --call-count 2000
1715391234, ink-wasm, v1.0.0, storage-write, 7.58, ink! 4.3.0, --instance-count 1 --call-count 2000
1715391210, sol-wasm, v1.0.0, storage-write, 8.25, Solidity 0.3.2, --instance-count 1 --call-count 2000
1715477712, evm, v0.34.1, storage-write, 19.29, solc 0.8.1, --instance-count 1 --call-count 2000
1715477808, ink-wasm, v1.0.0, storage-write, 7.58, ink! 4.3.0, --instance-count 1 --call-count 2000
1715477808, sol-wasm, v1.0.0, storage-write, 8.25, Solidity 0.3.2, --instance-count 1 --call-count 2000
