1714354374, evm, v0.34.1, storage-read, 26, solc 0.8.1, --instance-count 1 --call-count 2000
1714354338, ink-wasm, v1.0.0, storage-read, 17, ink! 4.3.0, --instance-count 1 --call-count 2000
1714354356, sol-wasm, v1.0.0, storage-read, 19, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714379388, evm, v0.34.1, storage-read, 16, solc 0.8.1, --instance-count 1 --call-count 2000
1714379382, ink-wasm, v1.0.0, storage-read, 17, ink! 4.3.0, --instance-count 1 --call-count 2000
1714379364, sol-wasm, v1.0.0, storage-read, 21, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714398936, evm, v0.34.1, storage-read, 12, solc 0.8.1, --instance-count 1 --call-count 2000
1714398930, ink-wasm, v1.0.0, storage-read, 17, ink! 4.3.0, --instance-count 1 --call-count 2000
1714398924, sol-wasm, v1.0.0, storage-read, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714440726, evm, v0.34.1, storage-read, 15, solc 0.8.1, --instance-count 1 --call-count 2000
1714440726, ink-wasm, v1.0.0, storage-read, 17, ink! 4.3.0, --instance-count 1 --call-count 2000
1714440720, sol-wasm, v1.0.0, storage-read, 22, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714486158, evm, v0.34.1, storage-read, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1714486188, ink-wasm, v1.0.0, storage-read, 17, ink! 4.3.0, --instance-count 1 --call-count 2000
1714486164, sol-wasm, v1.0.0, storage-read, 21, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714493125, evm, v0.34.1, storage-read, 24, solc 0.8.1, --instance-count 1 --call-count 2000
1714493148, ink-wasm, v1.0.0, storage-read, 17, ink! 4.3.0, --instance-count 1 --call-count 2000
1714493112, sol-wasm, v1.0.0, storage-read, 22, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714527162, evm, v0.34.1, storage-read, 22, solc 0.8.1, --instance-count 1 --call-count 2000
1714527138, ink-wasm, v1.0.0, storage-read, 17, ink! 4.3.0, --instance-count 1 --call-count 2000
1714527144, sol-wasm, v1.0.0, storage-read, 20, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714613526, evm, v0.34.1, storage-read, 23, solc 0.8.1, --instance-count 1 --call-count 2000
1714613532, ink-wasm, v1.0.0, storage-read, 17, ink! 4.3.0, --instance-count 1 --call-count 2000
1714613514, sol-wasm, v1.0.0, storage-read, 19, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714699884, evm, v0.34.1, storage-read, 25, solc 0.8.1, --instance-count 1 --call-count 2000
1714699866, ink-wasm, v1.0.0, storage-read, 17, ink! 4.3.0, --instance-count 1 --call-count 2000
1714699860, sol-wasm, v1.0.0, storage-read, 21, Solidity 0.3.2, --instance-count 1 --call-count 2000
1714786290, evm, v0.34.1, storage-read, , solc 0.8.1, --instance-count 1 --call-count 2000
1714786308, ink-wasm, v1.0.0, storage-read, , ink! 4.3.0, --instance-count 1 --call-count 2000
1714786284, sol-wasm, v1.0.0, storage-read, , Solidity 0.3.2, --instance-count 1 --call-count 2000
1714872756, evm, v0.34.1, storage-read, , solc 0.8.1, --instance-count 1 --call-count 2000
1714872756, ink-wasm, v1.0.0, storage-read, , ink! 4.3.0, --instance-count 1 --call-count 2000
1714872774, sol-wasm, v1.0.0, storage-read, , Solidity 0.3.2, --instance-count 1 --call-count 2000
1714959354, evm, v0.34.1, storage-read, , solc 0.8.1, --instance-count 1 --call-count 2000
1714959132, ink-wasm, v1.0.0, storage-read, , ink! 4.3.0, --instance-count 1 --call-count 2000
1714959138, sol-wasm, v1.0.0, storage-read, , Solidity 0.3.2, --instance-count 1 --call-count 2000
1715045664, evm, v0.34.1, storage-read, , solc 0.8.1, --instance-count 1 --call-count 2000
1715045664, ink-wasm, v1.0.0, storage-read, , ink! 4.3.0, --instance-count 1 --call-count 2000
1715045616, sol-wasm, v1.0.0, storage-read, , Solidity 0.3.2, --instance-count 1 --call-count 2000
1715131740, evm, v0.34.1, storage-read, , solc 0.8.1, --instance-count 1 --call-count 2000
1715131722, ink-wasm, v1.0.0, storage-read, , ink! 4.3.0, --instance-count 1 --call-count 2000
1715131716, sol-wasm, v1.0.0, storage-read, , Solidity 0.3.2, --instance-count 1 --call-count 2000
1715218272, evm, v0.34.1, storage-read, , solc 0.8.1, --instance-count 1 --call-count 2000
1715218272, ink-wasm, v1.0.0, storage-read, , ink! 4.3.0, --instance-count 1 --call-count 2000
1715218272, sol-wasm, v1.0.0, storage-read, , Solidity 0.3.2, --instance-count 1 --call-count 2000
